접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
대중교통,중구,광희동,공연,0.001558295165117053,0.0006786169855082315,67,99.17910447761194
대중교통,중구,광희동,관광지,0.00014700865301552207,0.00014533030621206552,64,17.015625
대중교통,중구,광희동,미술,0.00343433682446418,0.002852129404446609,69,347.39130434782606
대중교통,중구,광희동,스포츠관람,3.262049381682084e-05,3.262067577125933e-05,64,5.0
대중교통,중구,다산동,공연,0.0008228646397396883,0.0006789502394034406,51,85.49019607843137
대중교통,중구,다산동,관광지,0.00015707432608948074,0.00015354188725562475,45,15.2
대중교통,중구,다산동,미술,0.0028907836626750403,0.0028415894798930505,51,281.5882352941176
대중교통,중구,다산동,스포츠관람,3.0078873335122623e-05,3.0184951606598406e-05,45,5.0
대중교통,중구,동화동,공연,0.0006898036666533722,0.0006567959356728036,34,90.52941176470588
대중교통,중구,동화동,관광지,0.00013464524891067709,0.0001370721095816174,33,17.90909090909091
대중교통,중구,동화동,미술,0.0029000537754737834,0.0026704196854618113,35,317.85714285714283
대중교통,중구,동화동,스포츠관람,3.079556936346548e-05,3.078012527302811e-05,33,5.0
대중교통,중구,명동,공연,0.001881674110522924,0.0006815418833132684,91,105.91208791208791
대중교통,중구,명동,관광지,0.00016684161656509486,0.00016557757888740514,89,14.179775280898877
대중교통,중구,명동,미술,0.0031292149791995443,0.0030661938215343684,91,350.0769230769231
대중교통,중구,명동,스포츠관람,3.4460594207037936e-05,3.453143631166779e-05,89,5.0
대중교통,중구,소공동,공연,0.0006668183188090873,0.0006658324318526992,93,106.84946236559139
대중교통,중구,소공동,관광지,0.0001659432870868408,0.00016623554525840118,93,14.903225806451612
대중교통,중구,소공동,미술,0.0033264982131816717,0.0030362434037006815,94,349.6595744680851
대중교통,중구,소공동,스포츠관람,3.437061291147881e-05,3.440562637166676e-05,93,5.0
대중교통,중구,신당5동,공연,0.0006423111244653922,0.0006391230654363804,30,96.16666666666667
대중교통,중구,신당5동,관광지,0.00012820535579225644,0.0001281952123055381,30,20.0
대중교통,중구,신당5동,미술,0.003260169906914848,0.0025200004773880628,32,343.125
대중교통,중구,신당5동,스포츠관람,3.139426064202925e-05,3.147695790956409e-05,30,5.0
대중교통,중구,신당동,공연,0.0007991016702523084,0.0006602633093672481,55,88.9090909090909
대중교통,중구,신당동,관광지,0.00013602288466506768,0.00013609308699988765,49,19.06122448979592
대중교통,중구,신당동,미술,0.002778153065226856,0.002680442835332757,55,337.3090909090909
대중교통,중구,신당동,스포츠관람,3.2011215990800124e-05,3.205125076457512e-05,49,5.0
대중교통,중구,약수동,공연,0.0007955957352174839,0.0006712572907036303,49,88.81632653061224
대중교통,중구,약수동,관광지,0.00015781496332391637,0.00015170024399955624,44,15.840909090909092
대중교통,중구,약수동,미술,0.002850223874226759,0.0027982146416653886,49,283.1224489795918
대중교통,중구,약수동,스포츠관람,2.9200483308279782e-05,2.9252731581841497e-05,44,5.0
대중교통,중구,을지로동,공연,0.0007093031655151407,0.0006784222343838603,64,103.328125
대중교통,중구,을지로동,관광지,0.00014933389299127769,0.0001497485382317901,63,15.777777777777779
대중교통,중구,을지로동,미술,0.003741389843379504,0.002922379441576876,67,344.4925373134328
대중교통,중구,을지로동,스포츠관람,3.351710485163156e-05,3.349883589278939e-05,63,5.0
대중교통,중구,장충동,공연,0.0007068368227809285,0.0006868647907171564,103,91.2621359223301
대중교통,중구,장충동,관광지,0.0001567696831351482,0.0001534216679041974,103,14.097087378640778
대중교통,중구,장충동,미술,0.002891709057470044,0.002872868123196871,103,300.50485436893206
대중교통,중구,장충동,스포츠관람,3.001355066765264e-05,3.059355008135823e-05,102,4.882352941176471
대중교통,중구,중림동,공연,0.0006470805687480434,0.0006475135137558048,46,103.69565217391305
대중교통,중구,중림동,관광지,0.0001675204086281313,0.0001670040733412917,46,14.804347826086957
대중교통,중구,중림동,미술,0.004163156473510963,0.0029531850570801237,48,323.25
대중교통,중구,중림동,스포츠관람,3.4097130673321334e-05,3.405062931483421e-05,46,5.0
대중교통,중구,청구동,공연,0.0006590735146668964,0.0006600594630038726,34,92.3529411764706
대중교통,중구,청구동,관광지,0.00014090969647979743,0.00014408222122913665,34,16.294117647058822
대중교통,중구,청구동,미술,0.0026990995221152308,0.0027050277411118555,34,318.20588235294116
대중교통,중구,청구동,스포츠관람,2.9971038919065292e-05,3.0024024131694174e-05,34,5.0
대중교통,중구,필동,공연,0.001468741551848127,0.0006967115633499485,148,82.06756756756756
